

inst#,actual,predicted,error,prediction
78,2:normal,2:normal,,0.612
79,2:normal,2:normal,,0.612
80,2:normal,2:normal,,0.593
81,2:normal,2:normal,,0.593
82,2:normal,2:normal,,0.792
83,2:normal,2:normal,,0.593
84,2:normal,2:normal,,0.593
85,2:normal,2:normal,,0.792
86,2:normal,2:normal,,0.593
87,2:normal,2:normal,,0.792
88,2:normal,2:normal,,0.593
89,2:normal,2:normal,,0.593
90,2:normal,2:normal,,0.792
91,2:normal,2:normal,,0.593
92,2:normal,2:normal,,0.89
93,2:normal,2:normal,,0.612
94,2:normal,2:normal,,0.89
95,1:anormal,2:normal,+,0.89
96,2:normal,2:normal,,0.514
97,2:normal,1:anormal,+,0.565
98,2:normal,1:anormal,+,0.565
99,2:normal,1:anormal,+,0.805
100,2:normal,2:normal,,0.514
101,1:anormal,2:normal,+,0.514
102,1:anormal,2:normal,+,0.514
103,2:normal,2:normal,,0.514
104,2:normal,2:normal,,0.671
105,2:normal,2:normal,,0.514
106,2:normal,2:normal,,0.514
107,2:normal,2:normal,,0.671
108,2:normal,2:normal,,0.514
109,2:normal,2:normal,,0.514
110,2:normal,2:normal,,0.671
111,2:normal,2:normal,,0.514
112,2:normal,2:normal,,0.514
113,2:normal,2:normal,,0.671
114,2:normal,2:normal,,0.514
115,2:normal,2:normal,,0.671
116,2:normal,2:normal,,0.514
117,2:normal,2:normal,,0.671
118,2:normal,1:anormal,+,0.565
119,2:normal,1:anormal,+,0.565
120,2:normal,2:normal,,0.671
121,2:normal,2:normal,,0.612
122,2:normal,1:anormal,+,0.565
123,1:anormal,1:anormal,,0.565
124,1:anormal,1:anormal,,0.565
125,2:normal,1:anormal,+,0.805
126,2:normal,1:anormal,+,0.805
127,1:anormal,1:anormal,,0.805
128,2:normal,2:normal,,0.789
129,2:normal,2:normal,,0.612
130,2:normal,2:normal,,0.612
131,2:normal,1:anormal,+,0.565
132,2:normal,2:normal,,0.612
133,2:normal,2:normal,,0.612
134,2:normal,2:normal,,0.612
135,2:normal,2:normal,,0.612
136,2:normal,2:normal,,0.593
137,2:normal,1:anormal,+,0.565
138,2:normal,2:normal,,0.593
139,2:normal,2:normal,,0.593
140,2:normal,2:normal,,0.522
141,2:normal,1:anormal,+,0.565
142,2:normal,2:normal,,0.522
143,2:normal,2:normal,,0.522
144,2:normal,2:normal,,0.723
145,1:anormal,2:normal,+,0.723
146,2:normal,2:normal,,0.593
147,1:anormal,2:normal,+,0.522
148,1:anormal,2:normal,+,0.522
149,2:normal,2:normal,,0.522
150,2:normal,2:normal,,0.522
151,2:normal,2:normal,,0.655
152,2:normal,2:normal,,0.522
153,2:normal,2:normal,,0.655
154,2:normal,2:normal,,0.522
155,2:normal,2:normal,,0.655
156,2:normal,2:normal,,0.522
157,2:normal,2:normal,,0.655
158,2:normal,2:normal,,0.522
159,2:normal,2:normal,,0.655
160,2:normal,2:normal,,0.534
161,2:normal,2:normal,,0.655
162,2:normal,2:normal,,0.654
163,2:normal,2:normal,,0.522
164,2:normal,2:normal,,0.654
165,2:normal,2:normal,,0.654
166,1:anormal,2:normal,+,0.654
167,1:anormal,2:normal,+,0.654
168,2:normal,1:anormal,+,0.562
169,2:normal,1:anormal,+,0.562
170,2:normal,1:anormal,+,0.805
171,1:anormal,1:anormal,,0.805
172,1:anormal,1:anormal,,0.805
173,2:normal,2:normal,,0.514
174,2:normal,2:normal,,0.514
175,2:normal,2:normal,,0.612
176,2:normal,2:normal,,0.514
177,2:normal,2:normal,,0.514
178,2:normal,2:normal,,0.594
179,2:normal,2:normal,,0.594
180,2:normal,2:normal,,0.612
181,2:normal,2:normal,,0.594
182,2:normal,2:normal,,0.594
183,2:normal,2:normal,,0.594
184,2:normal,2:normal,,0.671
185,2:normal,2:normal,,0.67
186,2:normal,2:normal,,0.67
187,2:normal,2:normal,,0.671
188,2:normal,2:normal,,0.789
189,2:normal,2:normal,,0.923
190,2:normal,2:normal,,0.671
191,2:normal,2:normal,,0.581
192,2:normal,2:normal,,0.602
193,2:normal,2:normal,,0.581
194,2:normal,1:anormal,+,0.789
195,2:normal,2:normal,,0.581
196,2:normal,2:normal,,0.579
197,2:normal,2:normal,,0.581
198,2:normal,2:normal,,0.713
199,2:normal,2:normal,,0.581
200,2:normal,2:normal,,0.742
201,2:normal,1:anormal,+,0.908
202,1:anormal,1:anormal,,0.944
203,2:normal,2:normal,,0.713
204,2:normal,2:normal,,0.713
205,2:normal,2:normal,,0.713
206,2:normal,2:normal,,0.713
207,2:normal,2:normal,,0.579
208,1:anormal,1:anormal,,0.789
209,2:normal,2:normal,,0.602
210,2:normal,2:normal,,0.602
211,2:normal,2:normal,,0.602
212,1:anormal,1:anormal,,0.969
213,2:normal,2:normal,,0.671
214,2:normal,2:normal,,0.671
215,2:normal,2:normal,,0.671
216,2:normal,2:normal,,0.671
217,2:normal,1:anormal,+,0.857
218,1:anormal,1:anormal,,0.857
219,2:normal,2:normal,,0.612
220,2:normal,2:normal,,0.612
221,2:normal,2:normal,,0.612
222,1:anormal,1:anormal,,0.878
223,2:normal,1:anormal,+,0.878
224,1:anormal,1:anormal,,0.864
225,2:normal,1:anormal,+,0.864
226,1:anormal,1:anormal,,0.824
227,2:normal,1:anormal,+,0.824
228,2:normal,2:normal,,0.534
229,2:normal,2:normal,,0.879
230,2:normal,2:normal,,0.879
231,2:normal,2:normal,,0.534
232,2:normal,2:normal,,0.879
233,2:normal,2:normal,,0.522
234,2:normal,2:normal,,0.923
235,2:normal,2:normal,,0.522
236,1:anormal,2:normal,+,0.522
237,1:anormal,2:normal,+,0.522
238,2:normal,2:normal,,0.654
239,2:normal,1:anormal,+,0.562
240,2:normal,2:normal,,0.792
241,2:normal,2:normal,,0.514
242,2:normal,1:anormal,+,0.565
243,2:normal,2:normal,,0.594
244,2:normal,1:anormal,+,0.783
245,1:anormal,1:anormal,,0.783
246,2:normal,2:normal,,0.594
247,2:normal,2:normal,,0.671
248,2:normal,2:normal,,0.594
249,2:normal,2:normal,,0.514
250,2:normal,1:anormal,+,0.969
251,2:normal,2:normal,,0.514
252,2:normal,2:normal,,0.602
253,2:normal,2:normal,,0.514
254,2:normal,2:normal,,0.514
255,2:normal,1:anormal,+,0.789
256,2:normal,2:normal,,0.514
257,2:normal,2:normal,,0.579
258,2:normal,2:normal,,0.514
259,2:normal,2:normal,,0.579
260,2:normal,2:normal,,0.602
261,2:normal,2:normal,,0.514
262,2:normal,1:anormal,+,0.969
263,2:normal,2:normal,,0.514
264,2:normal,2:normal,,0.671
265,2:normal,2:normal,,0.671
266,2:normal,2:normal,,0.514
267,2:normal,2:normal,,0.671
268,2:normal,2:normal,,0.671
269,2:normal,2:normal,,0.671
270,1:anormal,2:normal,+,0.671
271,1:anormal,2:normal,+,0.671
272,2:normal,1:anormal,+,0.805
273,2:normal,2:normal,,0.612
274,1:anormal,2:normal,+,0.612
275,1:anormal,2:normal,+,0.612
276,2:normal,2:normal,,0.593
277,2:normal,2:normal,,0.522
278,2:normal,2:normal,,0.522
279,2:normal,2:normal,,0.522
280,2:normal,2:normal,,0.534
281,2:normal,2:normal,,0.654
282,2:normal,2:normal,,0.534
283,2:normal,2:normal,,0.534
284,2:normal,2:normal,,0.534
285,2:normal,2:normal,,0.534
286,2:normal,2:normal,,0.879
287,2:normal,2:normal,,0.534
288,2:normal,2:normal,,0.534
289,2:normal,2:normal,,0.534
290,2:normal,2:normal,,0.879
291,2:normal,2:normal,,0.534
292,2:normal,2:normal,,0.534
293,2:normal,2:normal,,0.879
294,2:normal,2:normal,,0.534
295,2:normal,2:normal,,0.879
296,2:normal,2:normal,,0.534
297,1:anormal,2:normal,+,0.534
298,2:normal,2:normal,,0.879
299,2:normal,1:anormal,+,0.805
300,2:normal,1:anormal,+,0.805
301,2:normal,2:normal,,0.522
302,1:anormal,2:normal,+,0.522
303,1:anormal,1:anormal,,0.824
304,2:normal,1:anormal,+,0.824
305,2:normal,2:normal,,0.744
306,2:normal,2:normal,,0.522
307,2:normal,2:normal,,0.723
308,2:normal,2:normal,,0.723
309,2:normal,2:normal,,0.593
310,2:normal,2:normal,,0.792
311,2:normal,2:normal,,0.593
312,2:normal,2:normal,,0.593
313,2:normal,2:normal,,0.792
314,2:normal,2:normal,,0.593
315,2:normal,2:normal,,0.89
316,2:normal,2:normal,,0.612
317,2:normal,2:normal,,0.89
318,2:normal,2:normal,,0.612
319,2:normal,2:normal,,0.594
320,2:normal,2:normal,,0.612
321,2:normal,2:normal,,0.612
322,2:normal,2:normal,,0.67
323,2:normal,2:normal,,0.612
324,2:normal,2:normal,,0.612
325,2:normal,2:normal,,0.612
326,2:normal,2:normal,,0.67
327,2:normal,2:normal,,0.612
328,2:normal,2:normal,,0.612
329,2:normal,2:normal,,0.612
330,2:normal,2:normal,,0.612
331,2:normal,2:normal,,0.789
332,2:normal,2:normal,,0.612
333,2:normal,2:normal,,0.612
334,2:normal,2:normal,,0.612
335,2:normal,2:normal,,0.612
336,2:normal,2:normal,,0.612
337,2:normal,2:normal,,0.612
338,2:normal,2:normal,,0.593
339,2:normal,2:normal,,0.593
340,2:normal,2:normal,,0.792
341,2:normal,2:normal,,0.593
342,2:normal,2:normal,,0.593
343,2:normal,2:normal,,0.593
344,1:anormal,2:normal,+,0.593
345,1:anormal,2:normal,+,0.593
346,2:normal,2:normal,,0.723
347,2:normal,2:normal,,0.593
348,2:normal,2:normal,,0.654
349,2:normal,1:anormal,+,0.562
350,2:normal,2:normal,,0.654
351,2:normal,1:anormal,+,0.562
352,2:normal,2:normal,,0.593
353,1:anormal,2:normal,+,0.522
354,1:anormal,2:normal,+,0.522
355,2:normal,2:normal,,0.522
356,2:normal,2:normal,,0.723
357,2:normal,2:normal,,0.522
358,2:normal,2:normal,,0.723
359,2:normal,2:normal,,0.792
360,2:normal,2:normal,,0.593
361,2:normal,2:normal,,0.89
362,2:normal,2:normal,,0.593
363,2:normal,2:normal,,0.792
364,2:normal,2:normal,,0.514
365,2:normal,2:normal,,0.612
366,2:normal,2:normal,,0.514
367,2:normal,2:normal,,0.612
368,2:normal,2:normal,,0.514
369,2:normal,2:normal,,0.514
370,2:normal,2:normal,,0.612
371,2:normal,2:normal,,0.514
372,2:normal,2:normal,,0.514
373,2:normal,2:normal,,0.612
374,2:normal,2:normal,,0.514
375,2:normal,2:normal,,0.514
376,2:normal,2:normal,,0.612
377,2:normal,2:normal,,0.514
378,2:normal,2:normal,,0.612
379,2:normal,2:normal,,0.514
380,1:anormal,2:normal,+,0.514
381,1:anormal,2:normal,+,0.514
382,2:normal,1:anormal,+,0.565
383,2:normal,1:anormal,+,0.805
384,1:anormal,1:anormal,,0.805
385,2:normal,2:normal,,0.612
386,2:normal,1:anormal,+,0.565
387,2:normal,2:normal,,0.612
388,2:normal,1:anormal,+,0.565
389,2:normal,2:normal,,0.612
390,2:normal,1:anormal,+,0.565
391,2:normal,2:normal,,0.612
392,2:normal,2:normal,,0.612
393,2:normal,2:normal,,0.612
394,2:normal,1:anormal,+,0.565
395,2:normal,2:normal,,0.593
396,2:normal,2:normal,,0.593
397,2:normal,2:normal,,0.593
398,2:normal,2:normal,,0.593
399,2:normal,2:normal,,0.593
400,2:normal,1:anormal,+,0.565
401,2:normal,2:normal,,0.593
402,1:anormal,2:normal,+,0.522
403,2:normal,1:anormal,+,0.783
404,2:normal,1:anormal,+,0.805
405,1:anormal,1:anormal,,0.805
406,2:normal,1:anormal,+,0.805
407,2:normal,2:normal,,0.593
408,2:normal,2:normal,,0.593
409,2:normal,2:normal,,0.593
410,2:normal,2:normal,,0.522
411,2:normal,1:anormal,+,0.565
412,2:normal,2:normal,,0.522
413,2:normal,2:normal,,0.522
414,2:normal,2:normal,,0.655
415,2:normal,2:normal,,0.522
416,2:normal,2:normal,,0.655
417,2:normal,2:normal,,0.522
418,2:normal,2:normal,,0.655
419,2:normal,2:normal,,0.522
420,2:normal,2:normal,,0.655
421,2:normal,2:normal,,0.522
422,2:normal,1:anormal,+,0.805
423,1:anormal,1:anormal,,0.805
424,2:normal,1:anormal,+,0.805
425,2:normal,2:normal,,0.655
426,2:normal,2:normal,,0.723
427,1:anormal,2:normal,+,0.792
428,2:normal,2:normal,,0.514
429,2:normal,2:normal,,0.514
430,2:normal,2:normal,,0.612
431,2:normal,2:normal,,0.514
432,2:normal,2:normal,,0.514
433,2:normal,2:normal,,0.514
434,2:normal,2:normal,,0.593
435,2:normal,2:normal,,0.792
436,2:normal,2:normal,,0.514
437,2:normal,2:normal,,0.514
438,2:normal,2:normal,,0.612
439,2:normal,2:normal,,0.514
440,2:normal,2:normal,,0.514
441,2:normal,2:normal,,0.594
442,2:normal,2:normal,,0.594
443,2:normal,2:normal,,0.612
444,2:normal,2:normal,,0.594
445,2:normal,2:normal,,0.594
446,2:normal,2:normal,,0.594
447,2:normal,2:normal,,0.671
448,2:normal,2:normal,,0.67
449,2:normal,2:normal,,0.67
450,2:normal,2:normal,,0.671
451,2:normal,2:normal,,0.789
452,2:normal,1:anormal,+,0.595
453,2:normal,2:normal,,0.602
454,2:normal,2:normal,,0.581
455,2:normal,1:anormal,+,0.789
456,2:normal,2:normal,,0.581
457,2:normal,1:anormal,+,0.789
458,2:normal,2:normal,,0.581
459,2:normal,2:normal,,0.579
460,2:normal,2:normal,,0.581
461,2:normal,2:normal,,0.713
462,2:normal,2:normal,,0.581
463,2:normal,2:normal,,0.742
464,2:normal,1:anormal,+,0.908
465,1:anormal,1:anormal,,0.908
466,2:normal,2:normal,,0.713
467,1:anormal,2:normal,+,0.713
468,2:normal,2:normal,,0.789
469,2:normal,2:normal,,0.713
470,2:normal,2:normal,,0.713
471,2:normal,2:normal,,0.581
472,2:normal,2:normal,,0.581
473,2:normal,1:anormal,+,0.576
474,2:normal,1:anormal,+,0.576
475,1:anormal,2:normal,+,0.742
476,2:normal,2:normal,,0.581
477,2:normal,1:anormal,+,0.576
478,2:normal,1:anormal,+,0.576
479,2:normal,2:normal,,0.742
480,2:normal,2:normal,,0.713
481,2:normal,2:normal,,0.581
482,2:normal,2:normal,,0.581
483,2:normal,1:anormal,+,0.576
484,2:normal,1:anormal,+,0.576
485,2:normal,2:normal,,0.581
486,2:normal,2:normal,,0.581
487,2:normal,2:normal,,0.524
488,2:normal,2:normal,,0.524
489,2:normal,2:normal,,0.524
490,2:normal,2:normal,,0.92
491,2:normal,1:anormal,+,0.576
492,2:normal,2:normal,,0.92
493,1:anormal,2:normal,+,0.92
494,2:normal,2:normal,,0.92
495,2:normal,1:anormal,+,0.576
496,2:normal,2:normal,,0.581
497,2:normal,1:anormal,+,0.576
498,2:normal,2:normal,,0.524
499,2:normal,1:anormal,+,0.576
500,2:normal,2:normal,,0.524
501,2:normal,2:normal,,0.524
502,2:normal,1:anormal,+,0.576
503,2:normal,2:normal,,0.92
504,2:normal,2:normal,,0.92
505,2:normal,1:anormal,+,0.576
506,2:normal,2:normal,,0.92
507,2:normal,2:normal,,0.92
508,2:normal,1:anormal,+,0.576
509,2:normal,2:normal,,0.92
510,2:normal,1:anormal,+,0.576
511,2:normal,2:normal,,0.92
512,2:normal,2:normal,,0.92
513,2:normal,1:anormal,+,0.944
514,2:normal,2:normal,,0.92
515,2:normal,2:normal,,0.742
516,2:normal,2:normal,,0.514
517,2:normal,2:normal,,0.514
518,2:normal,2:normal,,0.579
519,2:normal,2:normal,,0.514
520,2:normal,2:normal,,0.602
521,2:normal,2:normal,,0.514
522,2:normal,2:normal,,0.602
523,2:normal,2:normal,,0.671
524,2:normal,2:normal,,0.514
525,2:normal,2:normal,,0.67
526,1:anormal,2:normal,+,0.67
527,2:normal,1:anormal,+,0.805
528,2:normal,2:normal,,0.671
529,2:normal,1:anormal,+,0.805
530,1:anormal,1:anormal,,0.805
531,1:anormal,1:anormal,,0.805
532,2:normal,2:normal,,0.671
533,2:normal,2:normal,,0.671
534,2:normal,2:normal,,0.612
535,2:normal,2:normal,,0.514
536,2:normal,2:normal,,0.612
537,2:normal,2:normal,,0.612
538,2:normal,2:normal,,0.612
539,2:normal,2:normal,,0.612
540,2:normal,2:normal,,0.612
541,2:normal,2:normal,,0.612
542,2:normal,2:normal,,0.593
543,2:normal,2:normal,,0.593
544,2:normal,1:anormal,+,0.562
545,2:normal,2:normal,,0.593
546,2:normal,2:normal,,0.593
547,2:normal,2:normal,,0.522
548,2:normal,2:normal,,0.522
549,2:normal,2:normal,,0.654
550,2:normal,2:normal,,0.522
551,1:anormal,2:normal,+,0.522
552,1:anormal,1:anormal,,0.824
553,2:normal,1:anormal,+,0.805
554,2:normal,1:anormal,+,0.805
555,2:normal,1:anormal,+,0.857
556,1:anormal,2:normal,+,0.923
557,2:normal,2:normal,,0.654
558,2:normal,2:normal,,0.522
559,2:normal,2:normal,,0.654
560,2:normal,2:normal,,0.522
561,2:normal,2:normal,,0.654
562,2:normal,2:normal,,0.522
563,2:normal,2:normal,,0.723
564,2:normal,2:normal,,0.522
565,2:normal,2:normal,,0.522
566,2:normal,2:normal,,0.723
567,2:normal,2:normal,,0.522
568,2:normal,2:normal,,0.723
569,2:normal,2:normal,,0.593
570,2:normal,2:normal,,0.792
571,2:normal,2:normal,,0.514
572,2:normal,2:normal,,0.612
573,2:normal,2:normal,,0.89
574,2:normal,2:normal,,0.612
575,2:normal,2:normal,,0.612
576,2:normal,2:normal,,0.594
577,2:normal,2:normal,,0.612
578,2:normal,2:normal,,0.594
579,2:normal,2:normal,,0.612
580,2:normal,2:normal,,0.594
581,2:normal,2:normal,,0.612
582,2:normal,2:normal,,0.594
583,2:normal,2:normal,,0.612
584,2:normal,2:normal,,0.612
585,2:normal,2:normal,,0.67
586,2:normal,2:normal,,0.612
587,1:anormal,2:normal,+,0.612
588,2:normal,2:normal,,0.612
589,2:normal,2:normal,,0.514
590,2:normal,2:normal,,0.514
591,2:normal,2:normal,,0.612
592,2:normal,2:normal,,0.612
593,2:normal,2:normal,,0.612
594,2:normal,2:normal,,0.514
595,2:normal,2:normal,,0.514
596,2:normal,2:normal,,0.612
597,1:anormal,2:normal,+,0.612
598,1:anormal,2:normal,+,0.612
599,2:normal,2:normal,,0.612
600,2:normal,2:normal,,0.612
601,2:normal,2:normal,,0.593
602,2:normal,2:normal,,0.593
603,2:normal,2:normal,,0.593
604,2:normal,2:normal,,0.792
605,2:normal,2:normal,,0.593
606,2:normal,2:normal,,0.593
607,2:normal,2:normal,,0.593
608,2:normal,2:normal,,0.593
609,2:normal,2:normal,,0.723
610,2:normal,2:normal,,0.593
611,2:normal,2:normal,,0.593
612,2:normal,2:normal,,0.792
613,2:normal,2:normal,,0.593
614,2:normal,2:normal,,0.792
615,2:normal,2:normal,,0.593
616,2:normal,2:normal,,0.593
617,2:normal,2:normal,,0.792
618,2:normal,2:normal,,0.593
619,2:normal,2:normal,,0.89
620,2:normal,2:normal,,0.593
621,2:normal,2:normal,,0.89
622,2:normal,2:normal,,0.89
623,2:normal,2:normal,,0.612
624,2:normal,2:normal,,0.594
625,2:normal,2:normal,,0.612
626,2:normal,2:normal,,0.514
627,2:normal,2:normal,,0.514
628,2:normal,2:normal,,0.612
629,2:normal,2:normal,,0.514
630,2:normal,2:normal,,0.612
631,2:normal,2:normal,,0.514
632,2:normal,2:normal,,0.514
633,2:normal,2:normal,,0.612
634,1:anormal,2:normal,+,0.612
635,1:anormal,2:normal,+,0.612
636,2:normal,1:anormal,+,0.805
637,2:normal,1:anormal,+,0.805
638,1:anormal,1:anormal,,0.805
639,1:anormal,1:anormal,,0.805
640,2:normal,2:normal,,0.612
641,2:normal,2:normal,,0.514
642,2:normal,2:normal,,0.612
643,2:normal,2:normal,,0.514
644,2:normal,2:normal,,0.612
645,2:normal,1:anormal,+,0.565
646,2:normal,1:anormal,+,0.565
647,2:normal,2:normal,,0.612
648,2:normal,2:normal,,0.612
649,2:normal,1:anormal,+,0.565
650,2:normal,2:normal,,0.612
651,2:normal,1:anormal,+,0.565
652,2:normal,2:normal,,0.593
653,2:normal,1:anormal,+,0.565
654,2:normal,2:normal,,0.593
655,2:normal,2:normal,,0.593
656,2:normal,2:normal,,0.593
657,2:normal,1:anormal,+,0.565
658,1:anormal,1:anormal,,0.565
659,1:anormal,1:anormal,,0.565
660,2:normal,2:normal,,0.522
661,1:anormal,2:normal,+,0.522
662,1:anormal,2:normal,+,0.522
663,2:normal,2:normal,,0.522
664,2:normal,2:normal,,0.655
665,2:normal,2:normal,,0.522
666,2:normal,2:normal,,0.522
667,2:normal,2:normal,,0.522
668,2:normal,2:normal,,0.655
669,2:normal,2:normal,,0.522
670,2:normal,1:anormal,+,0.824
671,2:normal,1:anormal,+,0.824
672,2:normal,2:normal,,0.534
673,2:normal,2:normal,,0.534
674,2:normal,2:normal,,0.655
675,2:normal,2:normal,,0.534
676,2:normal,2:normal,,0.534
677,2:normal,2:normal,,0.655
678,2:normal,2:normal,,0.534
679,1:anormal,2:normal,+,0.534
680,2:normal,2:normal,,0.655
681,2:normal,1:anormal,+,0.805
682,1:anormal,1:anormal,,0.805
683,1:anormal,1:anormal,,0.805
684,2:normal,2:normal,,0.655
685,2:normal,2:normal,,0.534
686,2:normal,2:normal,,0.655
687,2:normal,2:normal,,0.534
688,2:normal,2:normal,,0.655
689,2:normal,2:normal,,0.654
690,2:normal,2:normal,,0.534
691,2:normal,2:normal,,0.654
692,2:normal,2:normal,,0.654
693,2:normal,2:normal,,0.522
694,2:normal,2:normal,,0.654
695,2:normal,2:normal,,0.654
696,2:normal,2:normal,,0.654
697,2:normal,2:normal,,0.522
698,2:normal,2:normal,,0.723
699,2:normal,2:normal,,0.723
700,2:normal,2:normal,,0.792
701,2:normal,2:normal,,0.593
702,2:normal,2:normal,,0.514
703,2:normal,2:normal,,0.514
704,2:normal,2:normal,,0.594
705,2:normal,2:normal,,0.594
706,2:normal,2:normal,,0.612
707,2:normal,1:anormal,+,0.565
708,1:anormal,1:anormal,,0.565
709,2:normal,2:normal,,0.594
710,2:normal,2:normal,,0.514
711,2:normal,2:normal,,0.514
712,2:normal,2:normal,,0.67
713,2:normal,2:normal,,0.514
714,2:normal,2:normal,,0.514
715,2:normal,1:anormal,+,0.703
716,2:normal,2:normal,,0.514
717,2:normal,2:normal,,0.594
718,1:anormal,1:anormal,,0.667
719,2:normal,1:anormal,+,0.667
720,2:normal,2:normal,,0.581
721,2:normal,2:normal,,0.602
722,2:normal,2:normal,,0.581
723,2:normal,2:normal,,0.579
724,2:normal,2:normal,,0.581
725,2:normal,2:normal,,0.713
726,2:normal,2:normal,,0.581
727,2:normal,2:normal,,0.742
728,2:normal,2:normal,,0.742
729,1:anormal,2:normal,+,0.607
730,2:normal,2:normal,,0.713
731,2:normal,2:normal,,0.713
732,2:normal,2:normal,,0.713
733,2:normal,2:normal,,0.579
734,2:normal,2:normal,,0.579
735,1:anormal,1:anormal,,0.789
736,2:normal,2:normal,,0.602
737,2:normal,2:normal,,0.602
738,2:normal,2:normal,,0.602
739,1:anormal,2:normal,+,0.602
740,2:normal,2:normal,,0.671
741,2:normal,2:normal,,0.671
742,2:normal,2:normal,,0.671
743,2:normal,2:normal,,0.671
744,2:normal,2:normal,,0.671
745,1:anormal,2:normal,+,0.671
746,2:normal,2:normal,,0.612
747,2:normal,2:normal,,0.612
748,2:normal,2:normal,,0.612
749,1:anormal,2:normal,+,0.612
750,2:normal,1:anormal,+,0.878
751,1:anormal,1:anormal,,0.864
752,2:normal,1:anormal,+,0.864
753,1:anormal,1:anormal,,0.824
754,2:normal,1:anormal,+,0.824
755,2:normal,2:normal,,0.534
756,2:normal,2:normal,,0.879
757,2:normal,2:normal,,0.879
758,2:normal,2:normal,,0.534
759,2:normal,2:normal,,0.879
760,2:normal,2:normal,,0.522
761,2:normal,2:normal,,0.923
762,2:normal,2:normal,,0.522
763,2:normal,2:normal,,0.723
764,2:normal,2:normal,,0.792
765,2:normal,2:normal,,0.612
766,2:normal,2:normal,,0.929
767,2:normal,2:normal,,0.594
768,2:normal,2:normal,,0.612
769,2:normal,2:normal,,0.594
770,2:normal,2:normal,,0.594
771,2:normal,2:normal,,0.612
772,2:normal,2:normal,,0.594
773,2:normal,2:normal,,0.671
774,2:normal,2:normal,,0.594
775,2:normal,2:normal,,0.514
776,2:normal,2:normal,,0.671
777,2:normal,2:normal,,0.514
778,2:normal,2:normal,,0.671
779,1:anormal,2:normal,+,0.671
780,1:anormal,2:normal,+,0.671
781,2:normal,1:anormal,+,0.805
782,2:normal,2:normal,,0.594
783,2:normal,1:anormal,+,0.595
784,2:normal,2:normal,,0.514
785,2:normal,2:normal,,0.581
786,1:anormal,2:normal,+,0.581
787,2:normal,1:anormal,+,0.667
788,2:normal,2:normal,,0.579
789,2:normal,2:normal,,0.579
790,2:normal,1:anormal,+,0.667
791,2:normal,2:normal,,0.579
792,2:normal,1:anormal,+,0.667
793,2:normal,1:anormal,+,0.789
794,2:normal,2:normal,,0.559
795,2:normal,2:normal,,0.602
796,2:normal,2:normal,,0.559
797,2:normal,2:normal,,0.602
798,2:normal,2:normal,,0.671
